"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1348","7604","rudolph","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","enemies","yes","race indeterminate","nan","nan","nan"
"1349","7604","rudolph","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","enemies","yes","white","nan","nan","nan"
"1350","7602","saharah","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1351","7622","same sex flirting/romancing","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1352","7622","same-sex flirting","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","yes"
"1353","7672","same-sex marriage","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1354","7673","same-sex romances between women","relationship/romance/sex","unknown","unknown","unknown","no","yes","lesbian implicit","nan","npc","nan","nan","nan","nan","nan"
"1355","7674","samus","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1356","7667","scott dolph","characters","unknown","unknown","unknown","yes","no","bisexual implicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1357","7667","scott dolph","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","npc","nan","nan","nan","nan","nan"
"1358","7675","sendak","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1359","7675","sendak","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1360","7600","sephiroth","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1361","7617","seri","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","yes","nan","major","nan","nan"
"1362","7630","setsuna saizuki","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1363","7618","sheik","characters","yes","unknown","unknown","no","no","nan","nan","pc","yes","race indeterminate","nan","nan","nan"
"1364","7676","smithers","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","enemies","yes","white","nan","nan","nan"
"1365","7628","soren","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","yes","white","nan","yes","nan"
"1366","7628","soren","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","nan","nan","nan","nan","nan"
"1367","7628","soren","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1368","7657","sorey","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1369","7640","strangelove","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1370","7677","tails","characters","yes","unknown","unknown","no","no","nan","nan","npc","no","nan","nan","nan","nan"
"1371","7634","tatsuya suou","characters","unknown","unknown","unknown","no","no","bisexual explicit","nan","pc","yes","asian","nan","nan","nan"
"1372","7635","tatsuya suou","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","pc","nan","nan","nan","yes","nan"
"1373","7618","the gerudos","characters","yes","unknown","unknown","no","no","nan","nan","enemies","no","nan","nan","nan","nan"
"1374","7618","the great faries","characters","yes","unknown","unknown","no","no","nan","nan","npc","no","nan","nan","nan","nan"
"1375","7575","tidus","characters","yes","unknown","unknown","yes","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1376","7678","tingle","characters","yes","unknown","unknown","yes","no","nan","nan","npc","no","nan","nan","nan","nan"
"1377","7678","tingle","characters","yes","unknown","unknown","no","yes","nan","nan","pc","nan","nan","nan","nan","nan"
"1378","7678","tingle","characters","yes","unknown","unknown","yes","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1379","7678","tingle","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
